iter	Passed	Remaining
714	9873	3935
715	9884	3920
716	9899	3907
717	9911	3892
718	9924	3878
719	9940	3865
720	9977	3860
721	10045	3867
722	10093	3867
723	10121	3858
724	10137	3845
725	10149	3830
726	10163	3816
727	10175	3801
728	10188	3787
729	10203	3773
730	10218	3760
731	10229	3745
732	10241	3730
733	10256	3717
734	10268	3702
735	10283	3688
736	10293	3673
737	10307	3659
738	10322	3645
739	10337	3631
740	10352	3618
741	10367	3604
742	10382	3591
743	10395	3577
744	10410	3563
745	10422	3548
746	10438	3535
747	10461	3524
748	10471	3509
749	10483	3494
750	10495	3479
751	10508	3465
752	10519	3450
753	10537	3437
754	10550	3423
755	10568	3410
756	10579	3396
757	10594	3382
758	10607	3368
759	10624	3354
760	10638	3341
761	10648	3325
762	10664	3312
763	10678	3298
764	10705	3288
765	10715	3273
766	10740	3262
767	10772	3254
768	10802	3244
769	10817	3231
770	10844	3221
771	10871	3210
772	10885	3196
773	10899	3182
774	10909	3167
775	10921	3152
776	10935	3138
777	10946	3123
778	10956	3108
779	10968	3093
780	10980	3078
781	10991	3064
782	11002	3049
783	11012	3034
784	11023	3019
785	11030	3003
786	11041	2988
787	11051	2973
788	11063	2958
789	11076	2944
790	11091	2930
791	11143	2926
792	11154	2911
793	11197	2905
794	11221	2893
795	11250	2883
796	11278	2872
797	11301	2860
798	11319	2847
799	11330	2832
800	11344	2818
801	11357	2803
802	11369	2789
803	11382	2774
804	11394	2760
805	11404	2745
806	11416	2730
807	11428	2715
808	11438	2700
809	11453	2686
810	11466	2672
811	11478	2657
812	11489	2642
813	11501	2628
814	11513	2613
815	11525	2598
816	11537	2584
817	11551	2570
818	11562	2555
819	11573	2540
820	11584	2525
821	11595	2510
822	11604	2495
823	11616	2481
824	11627	2466
825	11636	2451
826	11648	2436
827	11660	2422
828	11670	2407
829	11681	2392
830	11706	2380
831	11717	2366
832	11729	2351
833	11739	2336
834	11751	2322
835	11763	2307
836	11775	2293
837	11785	2278
838	11796	2263
839	11806	2248
840	11816	2234
841	11827	2219
842	11836	2204
843	11846	2189
844	11859	2175
845	11876	2161
846	11895	2148
847	11919	2136
848	11944	2124
849	11983	2114
850	12012	2103
851	12022	2088
852	12033	2073
853	12044	2059
854	12057	2044
855	12068	2030
856	12077	2015
857	12088	2000
858	12100	1986
859	12118	1972
860	12131	1958
861	12141	1943
862	12153	1929
863	12165	1915
864	12175	1900
865	12186	1885
866	12197	1871
867	12211	1857
868	12221	1842
869	12242	1829
870	12275	1818
871	12292	1804
872	12321	1792
873	12348	1780
874	12373	1767
875	12396	1754
876	12420	1741
877	12433	1727
878	12446	1713
879	12463	1699
880	12479	1685
881	12496	1671
882	12512	1657
883	12528	1643
884	12543	1629
885	12555	1615
886	12567	1601
887	12578	1586
888	12589	1571
889	12599	1557
890	12610	1542
891	12620	1528
892	12630	1513
893	12640	1498
894	12650	1484
895	12659	1469
896	12670	1454
897	12681	1440
898	12693	1426
899	12703	1411
900	12713	1396
901	12723	1382
902	12736	1368
903	12746	1353
904	12757	1339
905	12771	1325
906	12782	1310
907	12792	1296
908	12805	1281
909	12816	1267
910	12826	1253
911	12838	1238
912	12848	1224
913	12859	1210
914	12870	1195
915	12883	1181
916	12897	1167
917	12908	1153
918	12921	1138
919	12936	1124
920	12950	1110
921	12965	1096
922	12977	1082
923	12989	1068
924	13006	1054
925	13028	1041
926	13050	1027
927	13080	1014
928	13103	1001
929	13124	987
930	13149	974
931	13163	960
932	13172	945
933	13182	931
934	13192	917
935	13202	902
936	13212	888
937	13223	874
938	13232	859
939	13245	845
940	13255	831
941	13265	816
942	13276	802
943	13287	788
944	13298	774
945	13311	759
946	13321	745
947	13333	731
948	13343	717
949	13356	702
950	13366	688
951	13383	674
952	13413	661
953	13441	648
954	13481	635
955	13505	621
956	13555	609
957	13573	595
958	13587	580
959	13599	566
960	13610	552
961	13623	538
962	13635	523
963	13649	509
964	13658	495
965	13669	481
966	13681	466
967	13700	452
968	13715	438
969	13731	424
970	13748	410
971	13761	396
972	13777	382
973	13789	368
974	13799	353
975	13809	339
976	13818	325
977	13834	311
978	13847	297
979	13858	282
980	13866	268
981	13874	254
982	13882	240
983	13891	225
984	13898	211
985	13907	197
986	13915	183
987	13923	169
988	13931	154
989	13940	140
990	13949	126
991	13959	112
992	13968	98
993	13977	84
994	13986	70
995	13995	56
996	14004	42
997	14012	28
998	14021	14
999	14029	0
